Référence	ContexteGauche	Pivot	ContexteDroit   [type="VERcjg" & word=".*et"]
roland	p. 168, v. 2235	Sur piez se drecet, mais il ad grant dulur. Guardet aval e si	guardet	amunt : Sur l'erbe verte, ultre ses cumpaignuns, La veit gesir le
roland	p. 168, v. 2239	nobilie barun, Ço est l'arcevesque, que Deus mist en sun num.	Cleimet	sa culpe, si reguardet amunt, Cuntre le ciel amsdous ses mains ad juinz
roland	p. 168, v. 2239	l'arcevesque, que Deus mist en sun num. Cleimet sa culpe, si	reguardet	amunt, Cuntre le ciel amsdous ses mains ad juinz, Si priet Deu que
roland	p. 168, v. 2241	, si reguardet amunt, Cuntre le ciel amsdous ses mains ad juinz, Si	priet	Deu que pareïs li duinst. Morz est Turpin, le guerreier Charlun. Par
roland	p. 168, v. 2251	les dous furceles, Cruisiedes ad ses blanches mains, les beles. Forment le	pleignet	a la lei de sa tere : « E ! gentilz hom, chevaler de
roland	p. 170, v. 2261	prés : Par les oreilles fors s'e ist la cervel. De ses pers	priet	Deu ques apelt, E pois de lui a l'angle Gabriel. Prist l'
roland	p. 170, v. 2265	en ait, E Durendal s'espee en l'altre main. Dun arcbaleste ne	poet	traire un quarrel, Devers Espaigne en vait en un guaret ; Muntet un tertre
roland	p. 170, v. 2267	arcbaleste ne poet traire un quarrel, Devers Espaigne en vait en un guaret ;	Muntet	un tertre ; desuz un arbres bel, Quatre perruns i ad, de marbre
roland	p. 170, v. 2273	perruns i ad luisant de marbre. Sur l'erbe verte li quens Rollant se	pasmet	. Uns Sarrazins tute veie l'esguardet, Si se feinst mort, si gist
roland	p. 170, v. 2274	Sur l'erbe verte li quens Rollant se pasmet. Uns Sarrazins tute veie l'	esguardet	, Si se feinst mort, si gist entre les altres. Del sanc luat
roland	p. 170, v. 2277	si gist entre les altres. Del sanc luat sun cors e sun visage.	Met	sei en piez e de curre s'astet. Bels fut e forz e de
roland	p. 170, v. 2277	luat sun cors e sun visage. Met sei en piez e de curre s'	astet	. Bels fut e forz e de grant vasselage ; Par sun orgoill cumencet mortel
roland	p. 170, v. 2279	s'astet. Bels fut e forz e de grant vasselage ; Par sun orgoill	cumencet	mortel rage : Rollant saisit e sun cors e ses armes E dist un mot
roland	p. 172, v. 2289	ne volt, Sil fiert en l'elme, ki gemmet fut a or ;	Fruisset	l'acer e la teste e les os, Amsdous les oilz del chef li
roland	p. 172, v. 2294	, ne a dreit ne a tort ? Ne l'orrat hume ne t'en	tienget	por fol. Fenduz en est mis olifans el gros, Caiuz en est li
roland	p. 172, v. 2298	li cristals e li ors. » Ço sent Rollant la veüe ad perdue,	Met	sei sur piez, quanqu'il poet s'esvertuet ; En sun visage sa culur
roland	p. 172, v. 2298	Ço sent Rollant la veüe ad perdue, Met sei sur piez, quanqu'il	poet	s'esvertuet ; En sun visage sa culur ad perdue. Dedevant lui ad une
roland	p. 172, v. 2298	Rollant la veüe ad perdue, Met sei sur piez, quanqu'il poet s'	esvertuet	; En sun visage sa culur ad perdue. Dedevant lui ad une perre byse
roland	p. 172, v. 2302	par doel e par rancune. Cruist li acers, ne freint ne ne s'	esgruignet	. « E ! dist li quens, seinte Marie, aiüe ! E !
roland	p. 172, v. 2309	tient, ki la barbe ad canue ! Ne vos ait hume ki pur altre	fuiet	! Mult bon vassal vos ad lung tens tenue. Ja mais n'ert tel
roland	p. 172, v. 2313	asolue. » Rollant ferit el perrun de sardonie. Cruist li acers, ne	briset	ne n'esgrunie. Quant il ço vit que n'en pout mie freindre,
roland	p. 174, v. 2315	Quant il ço vit que n'en pout mie freindre, A sei meïsme la	cumencet	a pleindre : « E ! Durendal, cum es bele e clere e blanche
roland	p. 174, v. 2330	, dunt il out la fïance, E en Saisonie fait il ço qu'il	demandet	; Jo l'en cunquis e Escoce e Vales Islonde E Engletere, que il
roland	p. 174, v. 2340	Plus en abat que jo ne vos sai dire. L'espee cruist, ne	fruisset	ne ne brise, Cuntre ciel amunt est resortie. Quant veit li quens que
roland	p. 176, v. 2351	paiens te baillisent ; De chrestïens devez estre servie. Ne vos ait hume ki	facet	cuardie ! Mult larges teres de vus avrai cunquises, Que Carles tent, ki
roland	p. 176, v. 2359	alet curant, Sur l'erbe verte s'i est culchet adenz, Desuz lui	met	s'espee e l'olifan, Turnat sa teste vers la paiene gent : Pur
roland	p. 176, v. 2362	la paiene gent : Pur ço l'ad fait que il voelt veirement Que Carles	diet	e trestute sa gent, Li gentilz quens, qu'il fut mort cunquerant.
roland	p. 176, v. 2364	e trestute sa gent, Li gentilz quens, qu'il fut mort cunquerant.	Cleimet	sa culpe e menut e suvent, Pur ses pecchez Deu en puroffrid lo guant
roland	p. 178, v. 2381	humes de sun lign, De Carlemagne, sun seignor, kil nurrit ; Ne	poet	muer n'en plurt e ne suspirt. Mais lui meïsme ne volt mettre en
roland	p. 178, v. 2383	en plurt e ne suspirt. Mais lui meïsme ne volt mettre en ubli,	Cleimet	sa culpe, si priet Deu mercit : « Veire Patene, ki unkes ne
roland	p. 178, v. 2383	. Mais lui meïsme ne volt mettre en ubli, Cleimet sa culpe, si	priet	Deu mercit : « Veire Patene, ki unkes ne mentis, Seint Lazaron de
roland	p. 182, v. 2402	ne plein pied, Que il n'i ait o Franceis o paien. Carles	escriet	: « U estes vos, bels niés ? U est l'arcevesque e li
roland	p. 182, v. 2411	que jo aveie laiset ? » De ço qui chelt, quant nul n'en	respundiet	? « Deus ! dist li reis, tant me pois esmaier Que jo ne
roland	p. 182, v. 2414	, tant me pois esmaier Que jo ne fui a l'estur cumencer ! »	Tiret	sa barbe cum hom ki est iret ; Plurent des oilz si baron chevaler ;
roland	p. 184, v. 2432	e honur ; De France dulce m'unt tolue la flur. » Li reis	cumandet	Gebuin e Otun, Tedbalt de Reins e le cunte Milun : « Guardez le
roland	p. 184, v. 2444	retienent des lur. AOI. Li empereres fait ses graisles suner, Puis si	chevalchet	od sa grant ost li ber. De cels d'Espaigne unt lur les dos
roland	p. 184, v. 2449	le vespres decliner, Sur l'erbe verte descent li reis en un pred,	Culchet	sei a tere, si priet Damnedeu Que li soleilz facet pur lui arester,
roland	p. 184, v. 2449	erbe verte descent li reis en un pred, Culchet sei a tere, si	priet	Damnedeu Que li soleilz facet pur lui arester, La nuit targer e le jur
roland	p. 184, v. 2450	en un pred, Culchet sei a tere, si priet Damnedeu Que li soleilz	facet	pur lui arester, La nuit targer e le jur demurer. Ais li un
roland	p. 184, v. 2455	, car tei ne falt clartet. La flur de France as perdut, ço	set	Deus. Venger te poez de la gent criminel. » A icel mot l'
roland	p. 186, v. 2480	grant eschec en unt si chevaler, Li gentilz reis descendut est a piet,	Culchet	sei a tere, sin ad Deu graciet. Quant il se drecet, li
roland	p. 186, v. 2481	piet, Culchet sei a tere, sin ad Deu graciet. Quant il se	drecet	, li soleilz est culchet. Dist l'emperere : « Tens est del herberger
roland	p. 188, v. 2497	unkes escalguaite. Li emperere s'est culcet en un pret. Sun grant espiet	met	a sun chef li ber. Icele noit ne se volt desarmer, Si ad
roland	p. 188, v. 2511	franceis nel deivent ublier : Enseigne en unt de Munjoie crier ; Pur ço nes	poet	nule gent cuntrester. Clere est la noit e la lune luisant. Carles se
roland	p. 188, v. 2514	luisant. Carles se gist, mais doel ad de Rollant E d'Oliver li	peiset	mult forment, Des.XII. pers e de la franceise gent En Rencesvals ad laiset
roland	p. 188, v. 2517	.XII. pers e de la franceise gent En Rencesvals ad laiset morz sanglenz ; Ne	poet	muër n'en plurt e nes dement E priet Deu qu'as anmes seit guarent
roland	p. 188, v. 2518	ad laiset morz sanglenz ; Ne poet muër n'en plurt e nes dement E	priet	Deu qu'as anmes seit guarent. Las est li reis, kar la peine
roland	p. 188, v. 2522	Par tuz les prez or se dorment li Franc. N'i ad cheval ki	puisset	ester en estant : Ki herbe voelt, il la prent en gisant. Mult
roland	p. 188, v. 2527	dort cum hume traveillet. Seint Gabriel li ad Deus enveiet : L'empereür li	cumandet	a guarder. Li angles est tute noit a sun chef. Par avisium li
roland	p. 190, v. 2536	tempez, E fous e flambes i est apareillez : Isnelement sur tute sa gent	chet	. Ardent cez hanstes de fraisne e de pumer E cez escuz jesqu'as bucles
roland	p. 190, v. 2545	, plus de trente millers : N'en i ad cel a Franceis ne s'	agiet	. E Franceis crient : « Carlemagne, aidez ! » Li reis en ad
roland	p. 190, v. 2553	asalt e requert E prenent sei a braz ambesdous por loiter ; Mais ço ne	set	liquels abat ne quels chiet. Li emperere n'est mie esveillet. Aprés icele
roland	p. 190, v. 2553	sei a braz ambesdous por loiter ; Mais ço ne set liquels abat ne quels	chiet	. Li emperere n'est mie esveillet. Aprés icele li vien un'altre avisiun
roland	p. 190, v. 2559	dous chaeines si teneit un brohun. Devers Ardene veeit venir.XXX. urs, Cascun	parolet	altresi cume hum. Diseient li : « Sire, rendez le nus ! Il
roland	p. 190, v. 2567	ultre ses cumpaignuns. La vit li reis si merveillus estur ; Mais ço ne	set	liquels veint ne quels nun. Li angles Deu ço ad mustret al barun.
roland	p. 192, v. 2573	rent e sun elme e sa bronie ; Sur la verte herbe mult laidement se	culcet	; La destre main ad perdue trestute ; Del sanc qu'en ist se pasmet
roland	p. 192, v. 2575	culcet ; La destre main ad perdue trestute ; Del sanc qu'en ist se	pasmet	e angoiset. Dedevant lui sa muiller Bramimunde Pluret e criet, mult forment se
roland	p. 192, v. 2575	La destre main ad perdue trestute ; Del sanc qu'en ist se pasmet e	angoiset	. Dedevant lui sa muiller Bramimunde Pluret e criet, mult forment se doluset,
roland	p. 192, v. 2577	Del sanc qu'en ist se pasmet e angoiset. Dedevant lui sa muiller Bramimunde	Pluret	e criet, mult forment se doluset, Ensembl'od li plus de.XX. mil
roland	p. 192, v. 2577	qu'en ist se pasmet e angoiset. Dedevant lui sa muiller Bramimunde Pluret e	criet	, mult forment se doluset, Ensembl'od li plus de.XX. mil humes,
roland	p. 192, v. 2577	e angoiset. Dedevant lui sa muiller Bramimunde Pluret e criet, mult forment se	doluset	, Ensembl'od li plus de.XX. mil humes, Si maldient Carlun e France
roland	p. 192, v. 2595	sa cambre voltice ; Plusurs culurs i ad peinz e escrites ; E Bramimunde le	pluret	, la reïne, Trait ses chevels, si se cleimet caitive, A l'
roland	p. 192, v. 2596	; E Bramimunde le pluret, la reïne, Trait ses chevels, si se	cleimet	caitive, A l'altre mot mult haltement s'escriet : « E ! Sarraguce
roland	p. 192, v. 2597	ses chevels, si se cleimet caitive, A l'altre mot mult haltement s'	escriet	: « E ! Sarraguce, cum ies or desguarnie Del gentil rei ki t'
roland	p. 192, v. 2608	s'en fuirat mie. Mult est grant doel que n'en est ki l'	ociet	. » Li emperere par sa grant poëstet.VII. anz tuz plens ad en Espaigne
roland	p. 194, v. 2612	Espaigne estet ; Prent i chastels e alquantes citez. Li reis Marsilie s'en	purcacet	asez : Al premer an fist ses brefs seieler, En Babilonie Baligant ad mandet
roland	p. 194, v. 2616	Baligant ad mandet, Ço est l'amiraill, le viel d'antiquitet, Tut	survesquiet	e Virgilie e Omer ; En Sarraguce alt sucurre li ber E s'il nel
roland	p. 194, v. 2623	Charlemagne se vuldrat acorder. E cil est loinz, si ad mult demuret ;	Mandet	sa gent de.XL. regnez, Ses granz drodmunz en ad fait aprester, Eschiez
roland	p. 196, v. 2637	E cum il vienent en Espaigne la tere, Tut li païs en reluist e	esclairet	. Jesqu'a Marsilie en parvunt les noveles. AOI. Gent paienor ne voelent
roland	p. 196, v. 2654	getent un palie blanc ; U faldestoed i unt mis d'olifan : Desur s'	asiet	li paien Baligant ; Tuit li altre sunt remés en estant. Li sire d'
roland	p. 198, v. 2680	li faites chalcer ; Si li portez cest bastuncel d'or mer E a mei	venget	pur reconoistre sun feu. En France irai pur Carle guerreier. S'en ma
roland	p. 198, v. 2683	Carle guerreier. S'en ma mercit ne se culzt a mes piez E ne	guerpisset	la lei de chrestïens, Jo li toldrai la corune del chef. » Paien
roland	p. 200, v. 2723	duluruse, caitive ? E ! lasse, que nen ai un hume ki m'	ociet	! » AOI. Dist Clarïen : « Dame, ne parlez mie itant !
roland	p. 200, v. 2727	al paien Baligant. Marsilïun, ço dit, serat guarant, Si l'en	enveiet	sun bastun e sun guant. En Sebre avum.IIII. milie calant, Eschiez e
roland	p. 200, v. 2733	Li amiralz est riches e puisant : En France irat Carlemagne querant ; Rendre le	quidet	u mort o recreant. » Dist Bramimunde : « Mar en irat itant !
roland	p. 202, v. 2738	.VII. anz. Li emperere est ber e cumbatant : Meilz voel murir que ja	fuiet	de camp ; Suz ciel n'ad rei qui l prist a un enfant.
roland	p. 202, v. 2749	Espaigne dreit : Quite li cleim, se il la voelt aveir, Puis la	defendet	encuntre li Franceis ! Vers Carlemagne li durrai bon conseill : Cunquis l'avrat d'
roland	p. 204, v. 2786	i pout mes ester. Li emperere l'ad enchacet asez. Li reis vos	mandet	que vos le sucurez. Quite vos cleimet d'Espaigne le regnet. » E
roland	p. 204, v. 2787	ad enchacet asez. Li reis vos mandet que vos le sucurez. Quite vos	cleimet	d'Espaigne le regnet. » E Baligant cumencet a penser ; Si grant doel
roland	p. 204, v. 2788	vos le sucurez. Quite vos cleimet d'Espaigne le regnet. » E Baligant	cumencet	a penser ; Si grant doel ad por poi qu'il n'est desvet.
roland	p. 204, v. 2795	lur Franceis i ad mort.XX. millers. Li reis Marsilie le poign destre i	perdiet	E l'emperere asez l'ad enchalcet. En ceste tere n'est remés chevaler
roland	p. 204, v. 2804	ad fiers, En sun curage en est joüs e liet. Del faldestod se	redrecet	en piez, Puis escriet : « Baruns, ne vos targez ! Eissez des
roland	p. 204, v. 2805	curage en est joüs e liet. Del faldestod se redrecet en piez, Puis	escriet	: « Baruns, ne vos targez ! Eissez des nefs, muntez, si
roland	p. 206, v. 2814	, que fereient il plus ? Li amirals, ki trestut les esmut, Sin	apelet	Gemalfin, un sun drut : « Jo te cumant de tutes mes oz »
roland	p. 206, v. 2817	oz » Puis est munted en un sun destrer brun ; Ensembl'od lui em	meinet	.IIII. dux. Tant chevalchat qu'en Saraguce fut. A un perron de marbre
roland	p. 206, v. 2821	descenduz E quatre cuntes l'estreu li unt tenut. Par les degrez el paleis	muntet	sus. E Bramidonie vient curant cuntre lui, Si li ad dit : «
roland	p. 206, v. 2825	mare fui ! A itel hunte, sire, mon seignor ai perdut ! »	Chet	li as piez, li amiralz la reçut ; Sus en la chambre ad doel
roland	p. 206, v. 2841	en est turnet plurant. AOI. Par les degrez jus del paleis descent,	Muntet	el ceval, vient a sa gent puignant. Tant chevalchat qu'il est premers
roland	p. 208, v. 2848	est li emperere Carles. Sein Gabriel, ki de par Deu le guarde,	Levet	sa main, sur lui fait sun signacle. Li reis descent, si ad
roland	p. 208, v. 2856	bataille. AOI. En Rencesvals en est Carles venuz. Des morz qu'il	troevet	cumencet a plurer. Dist as Franceis : « Segnus, le pas tenez,
roland	p. 208, v. 2856	. AOI. En Rencesvals en est Carles venuz. Des morz qu'il troevet	cumencet	a plurer. Dist as Franceis : « Segnus, le pas tenez, Kar
roland	p. 208, v. 2858	. Dist as Franceis : « Segnus, le pas tenez, Kar mei meïsme	estoet	avant aler Pur mun nevold que vuldreie truver. A Eis esteie, a une
roland	p. 208, v. 2868	sun chef turnet ; Cunquerrantment si finereit li bers. » Plus qu'en ne	poet	un bastuncel jeter, Devant les altres est en un pui muntet. Quant l'
roland	p. 208, v. 2873	, Ki sunt vermeilles del sanc de noz barons ! Pitet en ad, ne	poet	muer n'en plurt. Desuz dous arbres parvenuz est Les colps Rollant conut en
roland	p. 208, v. 2880	pied, aled i est pleins curs. Entre ses mains ansdous Sur lui se	pasmet	, tant par est anguissus. Li empereres de pasmeisuns revint. Naimes li dux
roland	p. 210, v. 2885	Anjou e sun frere Henri Prenent le rei, sil drecent suz un pin.	Guardet	a la tere, veit sun nevold gesir. Tant dulcement a regreter le prist
roland	p. 210, v. 2891	juster e defenir. La meie honor est turnet en declin. » Carles se	pasmet	, ne s'en pout astenir. AOI. Carles li reis se vint de
roland	p. 210, v. 2894	reis se vint de pasmeisuns ; Par mains le tienent.IIII. de ses barons.	Guardet	a tere, veit gesir sun nevuld. Cors ad gaillard, perdue ad sa
roland	p. 210, v. 2898	. Carles le pleint par feid e par amur : « Ami Rollant, Deus	metet	t'anme en flors, En pareïs, entre les glorius ! Cum en Espaigne
roland	p. 210, v. 2903	dulur. Cum decarrat ma force e ma baldur ! N'en avrai ja ki	sustienget	m'onur ; Suz ciel ne quid aveir ami un sul ; Se jo ai
roland	p. 212, v. 2927	guierat mes oz a tel poeste, Quant cil est morz ki tuz jurz nos	cadelet	? E ! France, cum remeines deserte ! Si grant doel ai que jo
roland	p. 212, v. 2930	! Si grant doel ai que jo ne vuldreie estre ! » Sa barbe blanche	cumencet	a detraire, Ad ambes mains les chevels de sa teste. Cent mille Francs
roland	p. 212, v. 2938	ne voldreie vivre, De ma maisnee, ki pur mei est ocise ! Ço	duinset	Deus, le filz seinte Marie, Einz que jo vienge as maistres porz de
roland	p. 212, v. 2943	Entre les lur aluee e mise E ma car fust delez els enfuïe ! »	Ploret	des oilz, sa blanche barbe tiret, E dist dux Naimes : « Or
roland	p. 212, v. 2943	ma car fust delez els enfuïe ! » Ploret des oilz, sa blanche barbe	tiret	, E dist dux Naimes : « Or ad Carles grant ire. » AOI
roland	p. 214, v. 2970	seignurs unt mis ; Ben sunt lavez de piment e de vin. Li reis	cumandet	Tedbalt e Gebuin, Milun le cunte e Otes le marchis : « En.III.
roland	p. 216, v. 2979	, nen est fins que t'en alges ! Veiz Baligant, ki aprés tei	chevalchet	. Granz sunt les oz qu'il ameinet d'Arabe. Encoi verrum se tu
roland	p. 216, v. 2980	! Veiz Baligant, ki aprés tei chevalchet. Granz sunt les oz qu'il	ameinet	d'Arabe. Encoi verrum se tu as vasselage. » AOI. Carles li
roland	p. 216, v. 2983	. » AOI. Carles li reis en ad prise sa barbe, Si li	remembret	del doel e del damage, Mult fierement tute sa gent reguardet, Puis si
roland	p. 216, v. 2984	, Si li remembret del doel e del damage, Mult fierement tute sa gent	reguardet	, Puis si s'escriet a sa voiz grand e halte : « Barons franceis
roland	p. 216, v. 2985	doel e del damage, Mult fierement tute sa gent reguardet, Puis si s'	escriet	a sa voiz grand e halte : « Barons franceis, as chevals e as
roland	p. 216, v. 2987	, as chevals e as armes ! » AOI. Li empereres tuz premereins s'	adubet	. Isnelement ad vestue sa brunie, Lacet sun helme, si ad ceinte Joiuse
roland	p. 216, v. 2989	AOI. Li empereres tuz premereins s'adubet. Isnelement ad vestue sa brunie,	Lacet	sun helme, si ad ceinte Joiuse, Ki pur soleill sa clartet nen escunset
roland	p. 216, v. 2990	Lacet sun helme, si ad ceinte Joiuse, Ki pur soleill sa clartet nen	escunset	, Pent a sun col un escut de Biterne, Tient sun espiet, sin
roland	p. 216, v. 2993	, sin fait brandir la hanste, En Tencendur, sun bon cheval, puis	muntet	- Il le cunquist es guez desuz Marsune, Sin getat mort Malpalin de Nerbone
roland	p. 216, v. 2996	le cunquist es guez desuz Marsune, Sin getat mort Malpalin de Nerbone, -	Laschet	la resne, mult suvent l'esperonet, Fait sun eslais veant cent mil humes
roland	p. 216, v. 2996	Sin getat mort Malpalin de Nerbone, - Laschet la resne, mult suvent l'	esperonet	, Fait sun eslais veant cent mil humes, AOI. Recleimet Deu e l'
roland	p. 216, v. 2998	mult suvent l'esperonet, Fait sun eslais veant cent mil humes, AOI.	Recleimet	Deu e l'apostle de Rome. Par tut le champ cil de France descendent
roland	p. 216, v. 3001	, Plus de cent milie s'en adubent ensemble. Guarnemenz unt ki ben lor	atalentet	, Cevals curanz e lur armes mult gentes, Puis sunt muntez e unt grant
roland	p. 216, v. 3010	En tels vassals deit hom aveir fïance ! Asez est fols ki entr'els se	dementet	. Si Arrabiz de venir ne se repentent, La mort Rollant lur quid cherement
roland	p. 218, v. 3014	Respunt dux Neimes : « E Deus le nos cunsente ! » AOI. Carles	apelet	Rabel e Guineman. Ço dist li reis : « Seignurs, jo vos cumant
roland	p. 218, v. 3043	Sis guierat Hermans, li dux de Trace : Einz i murat que cuardise i	facet	. AOI. Naimes li dux e li quens Jozerans La quinte eschele unt faite
roland	p. 220, v. 3049	Ja pur murir cil n'erent recreanz. Suz ciel n'ad gent ki plus	poisset	en camp. Richard li velz les guierat el camp ; Cil i ferrat de
roland	p. 220, v. 3057	hanstes, fermez lur gunfanun. Le seignur d'els est apelet Oedun : Icil	cumandet	le cunte Nevelun, Tedbald de Reins e le marchis Otun : « Guiez ma
roland	p. 222, v. 3093	la bataille demandent ; Munjoie escrient ; od els est Carlemagne. Gefreid d'Anjou	portet	l'orie flambe : Seint Piere fut, si aveit num Romaine ; Mais de
roland	p. 222, v. 3098	de sun cheval descent, Sur l'erbe verte s'e est culchet adenz,	Turnet	sun vis vers le soleill levant, Recleimet Deu mult escordusement : « Veire Paterne
roland	p. 222, v. 3099	verte s'e est culchet adenz, Turnet sun vis vers le soleill levant,	Recleimet	Deu mult escordusement : « Veire Paterne, hoi cest jor me defend, Ki
roland	p. 224, v. 3110	cunsent Que mun nevold poisse venger Rollant ! » Cum ad oret, si se	drecet	en estant, Seignet sun chef de la vertut poisant. Muntet li reis en
roland	p. 224, v. 3111	poisse venger Rollant ! » Cum ad oret, si se drecet en estant,	Seignet	sun chef de la vertut poisant. Muntet li reis en sun cheval curant ;
roland	p. 224, v. 3112	, si se drecet en estant, Seignet sun chef de la vertut poisant.	Muntet	li reis en sun cheval curant ; L'estreu li tindrent Neimes e Jocerans ;
roland	p. 224, v. 3117	gaillart e ben seant, Cler le visage e de bon cuntenant. Puis si	chevalchet	mult aficheement. Sunent cil greisle e derere e devant ; Sur tuz les altres
roland	p. 224, v. 3121	bundist li olifant. Plurent Franceis pur pitet de Rollant. Mult gentement li emperere	chevalchet	. Desur sa bronie fors ad mise sa barbe. Pur sue amor altretel funt
roland	p. 224, v. 3136	: « Or oi grant vasselage. Sunez voz graisles, que mi paien le	sacet	! » Par tute l'ost funt lur taburs suner E cez buisines e cez
roland	p. 224, v. 3142	amiralz ne se voelt demurer, Vest une bronie dunt li pan sunt sasfret,	Lacet	sun elme, ki ad or est gemmet, Puis ceint s'espee al senestre
roland	p. 226, v. 3152	guige en est d'un bon palie roet ; Tient sun espiet, si l'	apelet	Maltet : La hanste fut grosse cume uns tinels ; De sul le fer fust
roland	p. 226, v. 3165	est suvent esprovet ; Deus ! quel baron, s'oüst chrestïentet ! Le cheval	brochet	, li sancs en ist tuz clers, Fait sun eslais, si tressalt un
roland	p. 226, v. 3167	tuz clers, Fait sun eslais, si tressalt un fosset, Cinquante pez i	poet	hom mesurer. Paien escrient : « Cist deit marches tenser ! N'i ad
roland	p. 226, v. 3170	deit marches tenser ! N'i ad Franceis, si a lui vient juster,	Voeillet	o nun, n'i perdet sun edet. Carles est fols, que ne
roland	p. 226, v. 3170	ad Franceis, si a lui vient juster, Voeillet o nun, n'i	perdet	sun edet. Carles est fols, que ne s'en est alet. »
roland	p. 226, v. 3172	fols, que ne s'en est alet. » AOI. Li amiralz ben	resemblet	barun. Blanche ad la barbe ensement cume flur E de sa lei mult par
roland	p. 228, v. 3183	honurs. Il nen at mie de Rollant sun nevold : N'avrat vertut ques	tienget	cuntre nus. » AOI. « Bels filz Malpramis, ço li dist Baligant
roland	p. 228, v. 3190	milie cumbatanz. Trestuz les altres ne pris jo mie un guant. Li empereres	repairet	veirement, Sil m'at nunciet mes més, li Sulïans,.X. escheles mult
roland	p. 228, v. 3193	més, li Sulïans,.X. escheles mult granz. Cil est mult proz ki	sunet	l'olifant : D'un graisle cler racatet ses cumpaignz E si cevalcent el premer
roland	p. 228, v. 3194	granz. Cil est mult proz ki sunet l'olifant : D'un graisle cler	racatet	ses cumpaignz E si cevalcent el premer chef devant, Ensembl'od els.XV. milie
roland	p. 228, v. 3197	chef devant, Ensembl'od els.XV. milie de Francs, De bachelers que Carles	cleimet	enfanz. Aprés icels en i ad ben altretanz. Cil i ferrunt mult orgoillusement
roland	p. 228, v. 3210	en Val Marchis. » Cil respunt : « Sire, vostre mercit ! »	Passet	avant, le dun en requeillit, Ço est de la tere ki fut al
roland	p. 230, v. 3214	la vit, Ne il n'en fut ne vestut ne saisit. Li amiraill	chevalchet	par cez oz. Sis filz le siut, ki mult ad grant le cors
roland	p. 230, v. 3232	Ço est une gent ki unches ben ne volt. AOI. Li amiralz en	juret	quanqu'il poet De Mahumet les vertuz e le cors : « Karles de France
roland	p. 230, v. 3232	gent ki unches ben ne volt. AOI. Li amiralz en juret quanqu'il	poet	De Mahumet les vertuz e le cors : « Karles de France chevalchet cume fols
roland	p. 230, v. 3234	quanqu'il poet De Mahumet les vertuz e le cors : « Karles de France	chevalchet	cume fols. Bataille i ert, se il ne s'en destolt ; Ja
roland	p. 232, v. 3272	un sermun : « Ki par noz deus voel aveir guarison, Sis prit e	servet	par grant afflictïun ! » Paien i bassent lur chefs e lur mentun, Lor
roland	p. 234, v. 3280	num ! » AOI. Li amiralz est mult de grant saveir : A sei	apelet	sis filz e les dous reis : « Seignurs barons, devant chevalchereiz. Mes
roland	p. 234, v. 3293	at ne pui ne val ne tertre, Selve ne bois, asconse n'i	poet	estre ; Ben s'entreveient en mi la pleine tere. Dist Baligant : «
roland	p. 234, v. 3297	« La meie gent averse, Car chevalchez pur la bataille quere ! L'enseigne	portet	Amborres d'Oluferne. Paien escrient, Preciuse l'apelent. Dient Franceis : «
roland	p. 234, v. 3302	. Li emperere i fait suner ses greisles E l'olifan, ki trestuz les	esclairet	. Dient paien : « La gent Carlun est bele. Bataille avrum e aduree
roland	p. 236, v. 3311	sunt mult cleres ; De l'olifan haltes sunt les menees. Li amiralz en	apelet	sun frere, Ço est Canabeus, li reis de Floredee : Cil tint la
roland	p. 236, v. 3316	li ad mustrees : « Veez l'orgoil de France la loee ! Mult fierement	chevalchet	li emperere. Il est darere od cele gent barbee : Desur lur bronies lur
roland	p. 236, v. 3323	aduree : Unkes nuls hom ne vit tel ajustee. » Plus qu'om ne	lancet	une verge pelee, Baligant ad ses cumpaignes trespassees. Une raisun lur a dit'
roland	p. 236, v. 3334	més que tant cume l'emperere en ad, Li reis de France s'en	escriet	mult halt ; « Barons franceis, vos estes bons vassals, Tantes batailles avez
roland	p. 236, v. 3341	or ne voelt a mei venir, s'en alt ! » Des esperons puis	brochet	le cheval, E Tencendor li ad fait.IIII. salz. Dient Franceis : «
roland	p. 238, v. 3353	lur espiez trenchanz. AOI. Li quens Rabels est chevaler hardiz. Le cheval	brochet	des esperuns d'or fin, Si vait ferir Torleu, le rei persis.
roland	p. 238, v. 3360	! Carles ad dreit, ne li devom faillir. » AOI. E Guineman	justet	a un rei leutice. Tute li freint la targe, ki est flurie ;
roland	p. 238, v. 3364	el cors mise, Que mort l'abat, ki qu'en plurt u kin	riet	. A icest colp cil de France s'escrient : « Ferez, baron,
roland	p. 238, v. 3369	la gent Deus nus ad mis al plus verai juïse. » AOI. Malpramis	siet	sur un cheval tut blanc ; Cunduit sun cors en la presse des Francs,
roland	p. 240, v. 3373	ferant, L'un mort sur l'altre suvent vait trescevant. Tut premereins s'	escriet	Baligant : « Li mien baron, nurrit vos ai lung tens. Veez mun
roland	p. 240, v. 3391	junchee ! L'erbe del camp, ki est verte e delgee ! Li amiralz	recleimet	sa maisnee : « Ferez, baron, sur la gent chrestïene ! » La
roland	p. 240, v. 3396	la nuit n'en ert fins otriee. AOI. Li amiralz la sue gent	apelet	: « Ferez, paien : por el venud n'i estes ! Jo vos
roland	p. 240, v. 3405	pesmes ; Bataille veit cil ki entr'els volt estre. AOI. Li emperere	recleimet	ses Franceis : « Seignors barons, jo vos aim, si vos crei.
